"","YEAR","TEAMNO","TEAM","SEED","ROUND","POWER","FINALS"
"1",2024,1067,"Connecticut",1,0,91.3,34.92
"2",2024,1026,"Stetson",16,0,47.1,0.03
"3",2024,1060,"Florida Atlantic",8,0,69.3,0.17
"4",2024,1036,"Northwestern",9,0,62.9,0.08
"5",2024,1029,"San Diego St.",5,0,71.5,0.48
"6",2024,1020,"UAB",12,0,55.7,0.05
"7",2024,1076,"Auburn",4,0,81.8,1.34
"8",2024,1012,"Yale",13,0,57.6,0.05
"9",2024,1073,"BYU",6,0,73,0.32
"10",2024,1062,"Duquesne",11,0,57.1,0.05
"11",2024,1054,"Illinois",3,0,80.7,1.73
"12",2024,1042,"Morehead St.",14,0,56.7,0.04
"13",2024,1015,"Washington St.",7,0,66.4,0.07
"14",2024,1064,"Drake",10,0,61.3,0.18
"15",2024,1053,"Iowa St.",2,0,78.7,4.78
"16",2024,1027,"South Dakota St.",15,0,52.4,0.04
"17",2024,1038,"North Carolina",1,0,77.9,12.1
"18",2024,1016,"Wagner",16,0,44.7,0.03
"19",2024,1044,"Mississippi St.",8,0,67.7,0.07
"20",2024,1045,"Michigan St.",9,0,74.5,0.21
"21",2024,1032,"Saint Mary's",5,0,73.8,0.29
"22",2024,1057,"Grand Canyon",12,0,64,0.05
"23",2024,1078,"Alabama",4,0,77.3,1.1
"24",2024,1070,"College of Charleston",13,0,57.1,0.05
"25",2024,1072,"Clemson",6,0,66.8,0.16
"26",2024,1039,"New Mexico",11,0,68.3,0.1
"27",2024,1075,"Baylor",3,0,80.6,1.83
"28",2024,1071,"Colgate",14,0,53.1,0.04
"29",2024,1065,"Dayton",7,0,66.7,0.08
"30",2024,1040,"Nevada",10,0,66.9,0.16
"31",2024,1077,"Arizona",2,0,86.2,4.06
"32",2024,1049,"Long Beach St.",15,0,51.3,0.03
"33",2024,1056,"Houston",1,0,87.1,9.27
"34",2024,1048,"Longwood",16,0,52.3,0.03
"35",2024,1041,"Nebraska",8,0,66.9,0.12
"36",2024,1022,"Texas A&M",9,0,68.2,0.11
"37",2024,1013,"Wisconsin",5,0,68.9,0.27
"38",2024,1052,"James Madison",12,0,63.2,0.06
"39",2024,1063,"Duke",4,0,84.8,1.58
"40",2024,1018,"Vermont",13,0,55.5,0.05
"41",2024,1021,"Texas Tech",6,0,66,0.16
